ID,ACUSADO,TIPO_VEHICULO_ACUSADO,MARCA_VEHICULO_ACUSADO,MODELO_VEHICULO_ACUSADO,COLECTIVO_ACUSADO,INTERNO_ACUSADO,SEXO_ACUSADO,EDAD_ACUSADO,repetido
138,CONDUCTOR,AUTO PARTICULAR,VOLKSWAGEN,GOL,,,Masculino,52,
139,CONDUCTOR,AUTO PARTICULAR,FORD,KA,,,Masculino,45,
140,CONDUCTOR,MOTO,BAJAJ,ROUSER,,,Femenino,38,
141,CONDUCTOR,CAMION,IVECO,170,,,Masculino,54,
142,CONDUCTOR,AUTO PARTICULAR,CHEVROLET,ONIX,,,Masculino,65,
143,CONDUCTOR,AUTO PARTICULAR,PEUGEOT,408,,,Masculino,51,
144,CONDUCTOR,AUTO PARTICULAR,CHEVROLET,CORSA,,,Masculino,36,
145,CONDUCTOR,MOTO,HONDA,NO HAY DATOS,,,Masculino,32,
146,CONDUCTOR,AUTO PARTICULAR,FIAT,PUNTO,,,Masculino,38,
147,CONDUCTOR,TAXI/REMIS,CHEVROLET,CLASICC,,,Masculino,38,
148,CONDUCTOR,SIN DATOS,,,,,Masculino,999,
149,CONDUCTOR,AUTO PARTICULAR,FIAT,PALIO,,,Masculino,35,
150,CONDUCTOR,TRANSPORTE PUBLICO,,,LINEA 188,NO HAY DATOS,Masculino,999,
151,CONDUCTOR,AUTO PARTICULAR,FORD,FOCUS,,,Masculino,26,
152,CONDUCTOR,TAXI/REMIS,RENAULT,FLUENCE,,,Masculino,36,
153,CONDUCTOR,AUTO PARTICULAR,SUZUKI,FUN,,,Masculino,54,
154,CONDUCTOR,TRANSPORTE PUBLICO,,,NO HAY DATOS,NO HAY DATOS,Masculino,36,
155,CONDUCTOR,AUTO PARTICULAR,PEUGEOT,306,,,Masculino,44,
156,CONDUCTOR,AUTO PARTICULAR,FORD,FIESTA,,,Masculino,62,
157,CONDUCTOR,AUTO PARTICULAR,HONDA,FIT,,,Masculino,32,
158,CONDUCTOR,AUTO (no se especifica si es particular o de alquiler),MERCEDES BENZ,1318,,,Masculino,28,
159,CONDUCTOR,AUTO PARTICULAR,RENAULT,CLIO,,,Masculino,37,
160,CONDUCTOR,CAMIONETA,PEUGEOT,PARTNER,,,Masculino,44,
160,PASAJERO/ACOMPAÑANTE,CAMIONETA,PEUGEOT,PARTNER,,,Femenino,24,
161,CONDUCTOR,CAMIONETA,FORD,F 100,,,Masculino,28,
162,CONDUCTOR,AUTO PARTICULAR,VOLKSWAGEN,BORA,,,Masculino,70,
163,CONDUCTOR,TRANSPORTE PUBLICO,,,NO HAY DATOS,NO HAY DATOS,Masculino,23,
164,CONDUCTOR,AUTO PARTICULAR,FORD,ECO SPORT,,,Masculino,24,
165,CONDUCTOR,AUTO PARTICULAR,CHEVROLET,ZAFIRA,,,Masculino,19,
166,CONDUCTOR,TAXI/REMIS,FIAT,GRAND SIENA,,,Masculino,62,
167,CONDUCTOR,TRANSPORTE PUBLICO,,,LINEA 175,INT 26,Masculino,999,
168,CONDUCTOR,AUTO PARTICULAR,TOYOTA,COROLLA,,,Masculino,68,
169,CONDUCTOR,AUTO PARTICULAR,PEUGEOT,306,,,Masculino,67,
170,CONDUCTOR,AUTO PARTICULAR,CHEVROLET,MERIVA,,,Masculino,69,
171,CONDUCTOR,AUTO PARTICULAR,PEUGEOT,206,,,Femenino,32,
171,CONDUCTOR,AUTO PARTICULAR,VOLKSWAGEN,GOLF,,,Masculino,52,
171,CONDUCTOR,AUTO PARTICULAR,FIAT,EXPRESS,,,Masculino,62,
171,CONDUCTOR,AUTO PARTICULAR,CHEVROLET,NO HAY DATOS,,,Masculino,69,
172,CONDUCTOR,TRANSPORTE PUBLICO,,,NO HAY DATOS,NO HAY DATOS,Masculino,34,
173,CONDUCTOR,AUTO PARTICULAR,RENAULT,MEGANE,,,Masculino,999,
174,CONDUCTOR,AUTO PARTICULAR,CITROEN,BERLINGO,,,Masculino,57,
175,CONDUCTOR,AUTO PARTICULAR,KIA,NO HAY DATOS,,,Masculino,40,
176,CONDUCTOR,TAXI/REMIS,FIAT,SIENA,,,Masculino,64,
177,CONDUCTOR,AUTO PARTICULAR,FIAT,PALIO,,,Femenino,31,
178,CONDUCTOR,AUTO PARTICULAR,VOLKSWAGEN,FOX,,,Masculino,48,
179,CONDUCTOR,TRANSPORTE PUBLICO,,,NO HAY DATOS,NO HAY DATOS,Masculino,36,
180,CONDUCTOR,CAMIONETA,DODGE,JOURNEY,,,Masculino,61,
181,CONDUCTOR,TAXI/REMIS,CHEVROLET,CORSA,,,Masculino,26,
182,CONDUCTOR,AUTO PARTICULAR,PEUGEOT,307,,,Masculino,27,
183,CONDUCTOR,AUTO PARTICULAR,FIAT,PUNTO,,,Masculino,29,
184,CONDUCTOR,AUTO PARTICULAR,FIAT,PALIO,,,Masculino,29,
185,CONDUCTOR,AUTO PARTICULAR,CHEVROLET,CORSA,,,Femenino,29,
186,PASAJERO/ACOMPAÑANTE,AUTO PARTICULAR,VOLKSWAGEN,SURAN,,,Femenino,17,
187,CONDUCTOR,MOTO,SIN DATOS,NO HAY DATOS,,,Masculino,999,
188,CONDUCTOR,AUTO (no se especifica si es particular o de alquiler),CHEVROLET,AGILE,,,Masculino,42,
188,CONDUCTOR,MOTO,ZANELLA,NO HAY DATOS,,,Masculino,28,
188,CONDUCTOR,AUTO (no se especifica si es particular o de alquiler),CHEVROLET,AGILE,,,Masculino,42,1
189,CONDUCTOR,AUTO PARTICULAR,CHEVROLET,MERIVA,,,Masculino,46,
190,CONDUCTOR,TRANSPORTE PUBLICO,,,NO HAY DATOS,NO HAY DATOS,Masculino,44,
191,CONDUCTOR,SIN DATOS,,,,,Masculino,999,
192,CONDUCTOR,TRANSPORTE PUBLICO,,,NO HAY DATOS,NO HAY DATOS,Masculino,999,
193,CONDUCTOR,MOTO,SIN DATOS,NO HAY DATOS,,,Masculino,999,
194,CONDUCTOR,MOTO,BAJAJ ROUSER,250,,,Masculino,21,
195,CONDUCTOR,BICICLETA,SIN DATOS,NO HAY DATOS,,,Masculino,30,
196,CONDUCTOR,AUTO PARTICULAR,PEUGEOT,207,,,Masculino,25,
196,CONDUCTOR,MOTO,GILERA,NO HAY DATOS,,,Masculino,32,
197,CONDUCTOR,BICICLETA,ZENITH,MONTAIN BIKE,,,Masculino,40,
198,CONDUCTOR,AUTO PARTICULAR,CITROEN,XSARA,,,Masculino,46,
199,CONDUCTOR,TRANSPORTE PUBLICO,,,LINEA 15,INT 38,Masculino,23,
200,CONDUCTOR,AUTO PARTICULAR,VOLKSWAGEN,SURAN,,,Masculino,36,
201,CONDUCTOR,TRANSPORTE PUBLICO,,,LINEA 55,INT 12,Masculino,47,
202,CONDUCTOR,AUTO PARTICULAR,CHEVROLET,PRISMA,,,Masculino,79,
203,CONDUCTOR,MOTO,HONDA,CG TITAN,,,Masculino,34,
204,CICLISTA,BICICLETA,SIN DATOS,NO HAY DATOS,,,Femenino,31,
205,CONDUCTOR,AUTO PARTICULAR,RENAULT,Logan,,,Masculino,57,
206,CONDUCTOR,AUTO PARTICULAR,FIAT,FIORINO,,,Masculino,34,
207,CONDUCTOR,MOTO,HONDA,NO HAY DATOS,,,Masculino,21,
208,CONDUCTOR,CAMION,SIN DATOS,NO HAY DATOS,,,Masculino,45,
209,CONDUCTOR,BICICLETA,SIN DATOS,NO HAY DATOS,,,Masculino,999,
210,CONDUCTOR,TAXI/REMIS,FIAT,SIENA,,,Masculino,60,
211,CONDUCTOR,TAXI/REMIS,VOLKSWAGEN,SURAN,,,Masculino,65,
212,CONDUCTOR,AUTO PARTICULAR,CHEVROLET,CLASICC,,,Masculino,63,
213,CONDUCTOR,TRANSPORTE PUBLICO,,,LINEA 95,INT 40,Masculino,35,
214,CONDUCTOR,AUTO (no se especifica si es particular o de alquiler),RENAULT,19,,,Masculino,55,
215,CONDUCTOR,AUTO PARTICULAR,VOLKSWAGEN,GOL,,,Masculino,23,
216,CONDUCTOR,AUTO PARTICULAR,VOLKSWAGEN,POLO,,,Masculino,44,
217,CONDUCTOR,TRANSPORTE PUBLICO,,,LINEA 87,INT 157,Masculino,48,
218,CONDUCTOR,AUTO PARTICULAR,CHERY,QQ,,,Femenino,47,
219,CONDUCTOR,UTILITARIO,FORD,RANGER,,,Femenino,23,
220,CONDUCTOR,TAXI/REMIS,CHEVROLET,CORSA,,,Masculino,62,
221,CONDUCTOR,CAMION,IGNORA,NO HAY DATOS,,,Masculino,999,
222,CONDUCTOR,AUTO PARTICULAR,TOYOTA,HILUX,,,Masculino,33,
223,CONDUCTOR,AUTO PARTICULAR,CHEVROLET,AGILE,,,Masculino,65,
224,CONDUCTOR,CAMION,MERCEDES BENZ,LS1634,,,Masculino,39,
225,CONDUCTOR,AUTO PARTICULAR,RENAULT,CLIO,,,Masculino,32,
226,CONDUCTOR,MOTO,SUZUKI,FUN,,,Masculino,27,
227,CONDUCTOR,AUTO PARTICULAR,VOLKSWAGEN,AMAROK,,,Masculino,43,
228,CONDUCTOR,CAMIONETA,FORD,F 100,,,Masculino,33,
229,CONDUCTOR,AUTO PARTICULAR,VOLKSWAGEN,SAVEIRO,,,Masculino,36,
230,CONDUCTOR,MOTO,YAMAHA,125,,,Masculino,40,
231,CONDUCTOR,AUTO PARTICULAR,VOLKSWAGEN,SURAN,,,Femenino,63,
232,CONDUCTOR,AUTO PARTICULAR,FORD,FOCUS,,,Masculino,65,
232,CONDUCTOR,AUTO PARTICULAR,VOLKSWAGEN,SURAN,,,Masculino,59,
233,CONDUCTOR,AUTO PARTICULAR,RENAULT,19,,,Masculino,60,
234,CONDUCTOR,CAMION,MERCEDES BENZ,NO HAY DATOS,,,Masculino,39,
235,CONDUCTOR,AUTO PARTICULAR,FORD,FALCON,,,Masculino,25,
236,CONDUCTOR,AUTO PARTICULAR,CITROEN,C3,,,Masculino,32,
236,CONDUCTOR,AUTO PARTICULAR,VOLKSWAGEN,VENTO,,,Masculino,39,
237,CONDUCTOR,TRANSPORTE PUBLICO,,,NO HAY DATOS,NO HAY DATOS,Masculino,39,
238,CONDUCTOR,AUTO PARTICULAR,HONDA,FIT,,,Masculino,47,
239,CONDUCTOR,AUTO PARTICULAR,HONDA,FIT,,,Femenino,21,
240,CONDUCTOR,TRANSPORTE PUBLICO,,,NO HAY DATOS,NO HAY DATOS,Masculino,999,
241,CONDUCTOR,AUTO PARTICULAR,VOLKSWAGEN,POLO,,,Masculino,47,
242,CONDUCTOR,AUTO PARTICULAR,RENAULT,TWINGO,,,Masculino,33,
243,CONDUCTOR,AUTO PARTICULAR,VOLKSWAGEN,GOL,,,Femenino,29,
244,CONDUCTOR,TAXI/REMIS,SIN DATOS,NO HAY DATOS,,,Masculino,999,
245,CONDUCTOR,MOTO,SIN DATOS,NO HAY DATOS,,,Masculino,999,
246,CONDUCTOR,AUTO PARTICULAR,FIAT,MAREA,,,Masculino,43,
247,CONDUCTOR,AUTO PARTICULAR,FORD,FIESTA,,,Masculino,34,
248,CONDUCTOR,AUTO PARTICULAR,FORD,ECO SPORT,,,Masculino,38,
249,CONDUCTOR,AUTO PARTICULAR,PEUGEOT,307,,,Masculino,30,
250,CONDUCTOR,AUTO PARTICULAR,RENAULT,SANDERO,,,Masculino,34,
251,CONDUCTOR,TAXI/REMIS,VOLKSWAGEN,VOYAGE,,,Masculino,51,
252,CONDUCTOR,AUTO PARTICULAR,RENAULT,DUSTER,,,Masculino,44,
253,CONDUCTOR,AUTO PARTICULAR,VOLKSWAGEN,GOL,,,Masculino,57,
254,CONDUCTOR,AUTO PARTICULAR,VOLKSWAGEN,POLO,,,Masculino,64,
255,CONDUCTOR,AUTO PARTICULAR,TOYOTA,HILUX,,,Masculino,47,
256,CONDUCTOR,AUTO PARTICULAR,FIAT,UNO,,,Masculino,55,
257,CONDUCTOR,AUTO PARTICULAR,PEUGEOT,PARTNER,,,Masculino,39,
258,CONDUCTOR,TAXI/REMIS,CHEVROLET,SPIN,,,Masculino,52,
259,CONDUCTOR,AUTO PARTICULAR,CITROEN,BERLINGO,,,Masculino,46,
260,CONDUCTOR,AUTO PARTICULAR,VOLKSWAGEN,POINTER,,,Masculino,43,
